"index","mc","mismc"
"488","0.000101","0.057984",
"489","0.000115","0.057986",
"490","0.000109","0.057989",
"491","0.000147","0.057982",
"492","0.000182","0.057982",
"493","0.000208","0.057982",
"494","0.000216","0.057983",
"495","0.000228","0.057981",
"496","0.000252","0.057981",
"497","0.000266","0.057981",
"498","0.000237","0.057976",
"499","0.000228","0.057975",
"500","0.000211","0.057976",
"501","0.000223","0.057977",
"502","0.000207","0.057977",
"503","0.000195","0.057976",
"504","0.000194","0.057974",
"505","0.000172","0.057973",
"506","0.000156","0.057974",
"507","0.000168","0.057971",
"508","0.000168","0.057974",
"509","0.000182","0.057980",
"510","0.000167","0.057979",
"511","0.000171","0.057975",
"512","0.000166","0.057977",
"513","0.000148","0.057975",
"514","0.000178","0.057977",
"515","0.000191","0.057974",
"516","0.000213","0.057970",
"517","0.000210","0.057971",
"518","0.000247","0.057977",
"519","0.000223","0.057981",
"520","0.000211","0.057974",
"521","0.000245","0.057974",
"522","0.000229","0.057977",
"523","0.000232","0.057977",
"524","0.000244","0.057973",
"525","0.000242","0.057975",
"526","0.000249","0.057975",
"527","0.000226","0.057971",
"528","0.000250","0.057976",
"529","0.000225","0.057978",
"530","0.000231","0.057974",
"531","0.000243","0.057971",
"532","0.000220","0.057966",
"533","0.000204","0.057966",
"534","0.000211","0.057966",
"535","0.000208","0.057967",
"536","0.000208","0.057967",
"537","0.000208","0.057973",
"538","0.000206","0.057977",
"539","0.000221","0.057974",
"540","0.000214","0.057980",
"541","0.000209","0.057980",
"542","0.000199","0.057973",
"543","0.000189","0.057972",
"544","0.000212","0.057971",
"545","0.000216","0.057969",
"546","0.000191","0.057974",
"547","0.000213","0.057973",
"548","0.000193","0.057975",
"549","0.000190","0.057969",
"550","0.000188","0.057974",
"551","0.000182","0.057968",
"552","0.000209","0.057967",
"553","0.000193","0.057964",
"554","0.000212","0.057961",
"555","0.000196","0.057959",
"556","0.000195","0.057961",
"557","0.000198","0.057957",
"558","0.000171","0.057958",
"559","0.000180","0.057960",
"560","0.000159","0.057959",
"561","0.000170","0.057965",
"562","0.000172","0.057963",
"563","0.000168","0.057960",
"564","0.000146","0.057958",
"565","0.000166","0.057956",
"566","0.000168","0.057952",
"567","0.000175","0.057952",
"568","0.000156","0.057957",
"569","0.000173","0.057956",
"570","0.000186","0.057953",
"571","0.000188","0.057953",
"572","0.000200","0.057955",
"573","0.000202","0.057950",
