"index","mc","mcblue","mclds","ismc","ismcblue","ismclds"
"288","0.000146","0.000732","0.000064","0.000160","0.000431","0.000017",
"289","0.000150","0.000761","0.000058","0.000165","0.000432","0.000010",
"290","0.000109","0.000724","0.000010","0.000162","0.000439","0.000031",
"291","0.000044","0.000693","0.000090","0.000170","0.000438","0.000010",
"292","0.000094","0.000694","0.000016","0.000174","0.000438","0.000010",
"293","0.000079","0.000661","0.000037","0.000170","0.000442","0.000015",
"294","0.000111","0.000659","0.000079","0.000183","0.000435","0.000010",
"295","0.000107","0.000664","0.000010","0.000179","0.000422","0.000024",
"296","0.000137","0.000640","0.000076","0.000169","0.000416","0.000023",
"297","0.000154","0.000668","0.000041","0.000156","0.000417","0.000017",
"298","0.000127","0.000595","0.000012","0.000169","0.000439","0.000033",
"299","0.000152","0.000588","0.000088","0.000161","0.000439","0.000010",
"300","0.000088","0.000603","0.000010","0.000179","0.000447","0.000010",
"301","0.000075","0.000645","0.000052","0.000175","0.000456","0.000024",
"302","0.000126","0.000684","0.000065","0.000197","0.000469","0.000023",
"303","0.000105","0.000614","0.000010","0.000203","0.000451","0.000045",
"304","0.000136","0.000651","0.000083","0.000199","0.000462","0.000022",
"305","0.000127","0.000602","0.000024","0.000196","0.000448","0.000016",
"306","0.000142","0.000532","0.000026","0.000198","0.000451","0.000020",
"307","0.000138","0.000501","0.000081","0.000217","0.000455","0.000010",
"308","0.000173","0.000539","0.000010","0.000206","0.000427","0.000010",
"309","0.000247","0.000525","0.000065","0.000205","0.000453","0.000010",
"310","0.000263","0.000488","0.000049","0.000214","0.000466","0.000010",
"311","0.000306","0.000487","0.000010","0.000216","0.000475","0.000022",
"312","0.000293","0.000473","0.000085","0.000212","0.000475","0.000010",
"313","0.000307","0.000453","0.000010","0.000197","0.000453","0.000010",
"314","0.000331","0.000481","0.000040","0.000194","0.000454","0.000011",
"315","0.000316","0.000465","0.000070","0.000194","0.000468","0.000010",
"316","0.000315","0.000408","0.000010","0.000189","0.000463","0.000031",
"317","0.000341","0.000439","0.000075","0.000190","0.000443","0.000022",
"318","0.000390","0.000420","0.000032","0.000204","0.000458","0.000015",
"319","0.000393","0.000382","0.000016","0.000220","0.000454","0.000027",
"320","0.000389","0.000415","0.000082","0.000217","0.000445","0.000010",
"321","0.000442","0.000430","0.000010","0.000222","0.000436","0.000010",
"322","0.000435","0.000417","0.000054","0.000223","0.000419","0.000017",
"323","0.000409","0.000456","0.000056","0.000206","0.000418","0.000015",
"324","0.000363","0.000511","0.000010","0.000197","0.000421","0.000034",
