"index","mc","mcblue","mclds","ismc1","ismcblue1","ismclds1","ismc2","ismcblue2","ismclds2","mismc","mismcstoc","mismclds"
"98","0.001358","0.001358","0.000612","0.000460","0.000460","0.000253","0.007021","0.007021","0.000131","0.003323","0.000181","0.001685",
"99","0.001466","0.001466","0.000090","0.000241","0.000241","0.000370","0.007152","0.007152","0.000053","0.003251","0.000066","0.001823",
"100","0.001272","0.001272","0.000714","0.000146","0.000146","0.000036","0.007019","0.007019","0.000373","0.003386","0.000279","0.001484",
"101","0.001491","0.001491","0.000152","0.000169","0.000169","0.000965","0.007291","0.007291","0.000351","0.003248","0.000040","0.001478",
"102","0.001480","0.001480","0.000016","0.000217","0.000217","0.000868","0.007110","0.007110","0.000096","0.003124","0.000054","0.001361",
"103","0.001499","0.001499","0.000763","0.000080","0.000080","0.000662","0.007477","0.007477","0.000127","0.003102","0.000191","0.001455",
"104","0.001322","0.001322","0.000107","0.000315","0.000315","0.000651","0.007754","0.007754","0.000054","0.003176","0.000025","0.001740",
"105","0.000785","0.000785","0.000365","0.000299","0.000299","0.000256","0.007536","0.007536","0.000512","0.003045","0.000129","0.002156",
"106","0.000833","0.000833","0.000439","0.000324","0.000324","0.000520","0.007496","0.007496","0.000233","0.003071","0.000120","0.001912",
"107","0.001291","0.001291","0.000046","0.000228","0.000228","0.000378","0.007685","0.007685","0.000100","0.002888","0.000106","0.001861",
"108","0.001558","0.001558","0.000766","0.000042","0.000042","0.000090","0.007499","0.007499","0.000236","0.003039","0.000266","0.002148",
"109","0.001951","0.001951","0.000016","0.000348","0.000348","0.000347","0.006898","0.006898","0.000032","0.002952","0.000058","0.002133",
"110","0.002657","0.002657","0.000093","0.000625","0.000625","0.000074","0.006962","0.006962","0.000443","0.002801","0.000075","0.002704",
"111","0.002835","0.002835","0.000615","0.000467","0.000467","0.000147","0.007114","0.007114","0.000064","0.002749","0.000179","0.002738",
"112","0.002860","0.002860","0.000085","0.000621","0.000621","0.000110","0.007153","0.007153","0.000070","0.002548","0.000135","0.002823",
"113","0.002551","0.002551","0.000556","0.000330","0.000330","0.000353","0.007486","0.007486","0.000452","0.002461","0.000254","0.003029",
"114","0.002959","0.002959","0.000279","0.000210","0.000210","0.000244","0.007635","0.007635","0.000287","0.002356","0.000167","0.002880",
"115","0.003250","0.003250","0.000038","0.000313","0.000313","0.000103","0.007331","0.007331","0.000053","0.002333","0.000105","0.003002",
"116","0.003460","0.003460","0.000749","0.000410","0.000410","0.000011","0.007282","0.007282","0.000022","0.002392","0.000234","0.002948",
"117","0.003466","0.003466","0.000064","0.000538","0.000538","0.000245","0.007115","0.007115","0.000037","0.002313","0.000075","0.002649",
"118","0.003306","0.003306","0.000226","0.000251","0.000251","0.000058","0.007232","0.007232","0.000471","0.002340","0.000085","0.002748",
"119","0.003503","0.003503","0.000460","0.000915","0.000915","0.000010","0.006719","0.006719","0.000087","0.002385","0.000175","0.003025",
"120","0.003469","0.003469","0.000068","0.000449","0.000449","0.000010","0.007239","0.007239","0.000125","0.002348","0.000062","0.003398",
